Project,Client,Title,Duration
SOS1819-04,,#1 Hacer Lab02,00:03:16
SOS1819-04,,#1 Leer las noticias de Piazza,00:13:14
SOS1819-04,,#10 Realizar API REST,05:10:21
SOS1819-04,,#11 Realizar pruebas con POSTMAN sobre la API REST,01:16:16
SOS1819-04,,#12 Revisar Código de la API REST,01:46:26
SOS1819-04,,#13 Sincronizar Repositorios,00:15:06
SOS1819-04,,#14 Crear Issues del Feedback 04,00:19:46
SOS1819-04,,#15 Crear Base de Datos en MongoDB,01:06:34
SOS1819-04,,#16 Desplegar API REST persistente en el tiempo,01:31:08
SOS1819-04,,#17 Crear colección de llamadas en POSTMAN,00:35:01
SOS1819-04,,#18 Sincronizar Repositorios,00:01:21
SOS1819-04,,#19 [GRUPO] Comprobaciones APIs y Modificar Readme.md Asignatura,00:15:02
SOS1819-04,,#2 Crear index.html,02:17:33
SOS1819-04,,#2 Crear Servidor,00:10:16
SOS1819-04,,#3 Crear servidor 2.0,00:24:54
SOS1819-04,,#3 Programar las Issues del Segundo FeedBack,00:19:12
SOS1819-04,,#4 Crear Servidor 3.0,00:21:07
SOS1819-04,,#4 Sincronizar Repositorios,01:43:55
SOS1819-04,,#5 Instalar Postman,00:30:26
SOS1819-04,,#6 Completar la Ficha del Trabajo,00:41:21
SOS1819-04,,#7 Crear Documento SOS1819-04-YYY en Drive,02:33:20
SOS1819-04,,#8 Desplegar el Proyecto de Grupo en Heroku,01:07:13
SOS1819-04,,#9 Crear Issues del Tercer Feedback,00:27:10
SOS1819-04,,Crear Servidor que Devuelve la Hora Actual.,00:18:46
,,#3 Crear servidor 2.0,00:00:00
